"Região","UF","IBGE","Município","População*","Domicílios com a TRIA aplicada","Domicílios em risco de insegurança alimentar","% Domicílios em risco de insegurança alimentar","Pessoas em domicílios em risco de insegurança alimentar","Domicílios em risco de insegurança alimentar com pessoas com deficiência","% de domicílios em risco de insegurança alimentar com pessoas com deficiência","Domicílios em risco de insegurança alimentar com pessoas em situação de rua","% de domicílios em risco de insegurança alimentar com pessoas em situação de rua","Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo","% de domicílios com RF respondente autodeclarado pardo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco","% de domicílios com RF respondente autodeclarado branco","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo","% de domicílios com RF respondente autodeclarado amarelo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto","% de domicílios com RF respondente autodeclarado preto","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena","% de domicílios com RF respondente autodeclarado indígena","Competência"
"NORTE","AM","130280","MARAA","15815","2592","650","25.1","2648","33","5.1","0","0","5","0.8","452","69.5","347","59.8","233","40.2","559","96.4","16","2.8","1","0.2","3","0.5","1","0.2","nov/2023 a abr/2026"
"NORTE","AM","130290","MAUES","66336","10085","1785","17.7","7583","240","13.4","0","0","315","17.6","1285","72","795","50.5","779","49.5","1536","97.6","15","1","4","0.3","10","0.6","10","0.6","nov/2023 a abr/2026"
"NORTE","AM","130300","NHAMUNDA","21251","4852","879","18.1","3381","127","14.4","0","0","113","12.9","566","64.4","197","28.2","501","71.8","692","99.1","0","0","1","0.1","2","0.3","3","0.4","nov/2023 a abr/2026"
"NORTE","AM","130310","NOVA OLINDA DO NORTE","28123","6975","1543","22.1","6064","213","13.8","0","0","489","31.7","1069","69.3","888","66.7","443","33.3","1120","84.1","34","2.6","0","0","8","0.6","171","12.8","nov/2023 a abr/2026"
"NORTE","AM","130320","NOVO AIRAO","16562","4792","549","11.5","2364","86","15.7","1","0.2","40","7.3","394","71.8","310","71.6","123","28.4","387","89.4","14","3.2","0","0","4","0.9","28","6.5","nov/2023 a abr/2026"
"NORTE","AM","130330","NOVO ARIPUANA","25325","3354","819","24.4","3514","115","14","6","0.7","60","7.3","556","67.9","431","61.5","270","38.5","687","98","5","0.7","2","0.3","7","1","0","0","nov/2023 a abr/2026"
"NORTE","AM","130340","PARINTINS","101855","14897","4485","30.1","19639","507","11.3","21","0.5","2240","49.9","2998","66.8","2092","54.9","1719","45.1","3670","96.3","35","0.9","59","1.5","27","0.7","20","0.5","nov/2023 a abr/2026"
"NORTE","AM","130350","PAUINI","20229","2677","251","9.4","1046","36","14.3","0","0","96","38.2","169","67.3","117","56","92","44","158","75.6","17","8.1","0","0","13","6.2","21","10","nov/2023 a abr/2026"
"NORTE","AM","130353","PRESIDENTE FIGUEIREDO","33291","9612","841","8.7","3233","108","12.8","2","0.2","26","3.1","545","64.8","419","69.5","184","30.5","516","85.6","59","9.8","7","1.2","21","3.5","0","0","nov/2023 a abr/2026"
"NORTE","AM","130356","RIO PRETO DA EVA","25364","8497","1333","15.7","5024","174","13.1","2","0.2","116","8.7","800","60","769","65.4","406","34.6","990","84.3","124","10.6","4","0.3","42","3.6","15","1.3","nov/2023 a abr/2026"
